Income,Age,Dependents,Loan_Repayment,Eating_Out,Entertainment,Healthcare,Rent,Groceries,Disposable_Income,Desired_Savings,probabilidade_risco,classificacao_binaria,nivel_risco
44637.24963568593,49,0,0.0,1651.8017262162875,1536.1842554984205,1546.9145393077706,13391.174890705775,6658.768340572072,11265.6277068517,6200.537192442157,0.01,0,Baixo
26858.596591729543,34,2,0.0,649.378102691658,1050.241737526573,1137.3513250935068,5371.719318345909,2818.444460208314,9676.818732684447,1923.1764339045449,0.0,0,Baixo
50367.60508357677,35,1,4612.103386494076,1513.814375754018,1723.3069258963044,2178.5158473219,7555.140762536515,6313.222080930132,13891.450624290315,7050.360421687626,0.01,0,Baixo
101455.6002469913,21,0,6809.441426747919,5040.249157842395,2858.1942402624245,4571.118216513439,15218.340037048692,14690.149362877528,31617.95361466108,16694.965136405768,0.04,0,Baixo
24875.28354773196,52,4,3112.6093984226027,692.8272250153346,660.1868515437461,1169.0958159721715,4975.056709546392,3034.3296645448127,6265.700532103096,1874.0994338344517,0.06,0,Baixo
24875.61026730744,57,4,0.0,1049.0674532807411,751.0168146471772,1022.2954389405938,4975.122053461488,3250.0677560648446,7599.265299650189,1478.6663590860635,0.0,0,Baixo
106119.69276166476,53,0,0.0,4390.9051043167165,2626.7716291812085,3807.098561946348,21223.938552332955,12790.390693134332,41595.32572289698,18399.564591550105,0.0,0,Baixo
55431.34150830326,40,1,8307.702220408508,1741.913581746191,1219.684252046555,2574.449980700129,11086.268301660652,8194.482409804936,8465.944597092319,6636.413892703046,0.92,1,Alto
20606.733120766687,32,4,3562.488826158373,688.059837660429,418.23381565559583,830.2370548088703,6182.019936230005,3066.867219909219,362.9178724283629,362.9178724283629,1.0,1,Alto
46304.79023459725,30,1,0.0,2040.3106657836292,1016.6131635998316,1649.7575140341282,9260.95804691945,5065.627031541116,15690.256276016116,5615.1047449505895,0.0,0,Baixo
20706.822335826528,31,0,0.0,451.4112394398089,785.2896337443872,819.0986804970788,3106.023350373979,3037.2683270158,8058.57116202657,1729.7027630096304,0.0,0,Baixo
20668.55739001468,31,4,0.0,878.8794913789858,643.1505177020996,1019.2460907476724,4133.711478002936,2597.398799574515,6119.611452794788,1704.193685883013,0.0,0,Baixo
36407.22336013257,54,3,4583.248323227494,1328.961972624062,822.8832106536985,1153.74809253563,10922.16700803977,4685.673101497202,4590.467260729598,2743.079538793525,0.95,1,Alto
6492.016465573834,22,3,0.0,309.23968800191767,229.82590645140465,222.6484180489697,973.802469836075,955.4994257848748,1880.9261396743927,464.2909173976621,0.02,0,Baixo
7547.85272595847,39,4,0.0,266.43842494443817,277.46555460962,235.71248571481945,1509.570545191694,1032.727434484891,2161.4551751096524,412.21404015408274,0.05,0,Baixo
19132.096281101058,45,2,2525.4053418435365,661.7513296743241,660.7490157006026,919.4335322334643,3826.419256220212,2515.7235123201517,3204.3523947057365,1533.959450484261,0.92,1,Alto
13342.207217642665,62,4,2540.481210907885,622.2722570265828,331.7045333539628,531.5572945708017,2668.441443528533,1920.1040943288804,1098.2901707765177,1086.1303240701657,0.91,1,Alto
38574.64702065896,21,4,0.0,1267.5534193552548,1802.7394385803743,1196.0442016011566,7714.929404131792,5126.82346747377,10612.576689849451,2666.0859596866626,0.02,0,Baixo
14509.130214675472,55,4,829.4411881855278,515.5836353821414,414.2340655484607,656.649936267368,4352.739064402642,1506.2540042531682,2482.6099382833563,1049.9662330480185,0.15,0,Baixo
9692.519676095202,46,0,0.0,396.0600612006044,427.9080997063166,305.6529262171243,1938.5039352190408,1306.540653788061,3659.068173875291,505.94103763708455,0.0,0,Baixo
96903.5735346614,54,4,9481.168344577973,2829.0451223446767,3879.579165506669,3956.9284765527455,19380.71470693228,14257.029112955188,20836.43014417688,13125.68698983893,0.37,0,Médio
25042.549077566902,52,4,2898.038657275169,1098.4064256470344,839.5857771302713,1066.0403190499674,5008.509815513382,3170.687115796544,4900.615035330291,1439.4375120999566,0.77,1,Alto
31665.25254344452,37,0,0.0,1373.343270255809,876.0805909443903,1579.0771235748027,9499.575763033356,4019.467417067896,8792.3411666813,2164.459421221964,0.0,0,Baixo
9596.503685321524,52,4,0.0,429.71592771844655,379.4526455860102,417.07351394113743,1919.300737064305,1092.984105980297,3095.6580436953964,522.9089707974001,0.02,0,Baixo
19408.11353403291,52,3,2832.160281310571,956.5912292761128,930.2938672063276,592.6318283326164,5822.434060209873,2486.690884584547,826.2663088605877,826.2663088605877,0.99,1,Alto
32783.83155406074,37,3,0.0,1519.466234793638,1452.2629519293278,1175.0535343713389,6556.766310812148,4815.609781647859,9772.99929308625,3073.112962281771,0.0,0,Baixo
11946.071979814871,19,4,0.0,475.92940066782097,497.30624952560976,404.4367491804396,2389.2143959629743,1363.7861164938804,4147.829434383291,670.4537084148577,0.01,0,Baixo
40518.38397137296,35,0,0.0,1070.6449399624455,1146.6282214401165,1221.9125610733545,6077.757595705944,6013.173480776837,16466.83101771838,5993.95672349246,0.0,0,Baixo
18554.01911983324,47,4,1192.2245655336949,674.6884967129324,773.1859706324626,795.0787047467554,3710.803823966648,2512.9743657914823,3422.993164291256,1793.1139070688962,0.06,0,Baixo
23756.1722713903,59,4,0.0,597.5939205081079,1039.084352406884,1068.1949349736826,4751.23445427806,2635.30693843508,7421.818799473136,1502.4029682667194,0.0,0,Baixo
18538.17448835576,46,1,3359.642815107103,729.4581326099944,409.261016124922,746.6548569003629,3707.634897671152,2506.825232279527,2054.643023444773,1734.1727077284286,0.99,1,Alto
132028.78001915166,56,2,0.0,5733.445750798425,4929.443915991355,5860.840404606983,19804.317002872747,15998.747064577365,50041.28302458506,24469.691483246374,0.03,0,Baixo
29677.809209294763,39,0,2892.4354952427425,769.224968835958,1051.781978680487,1046.7579150719844,8903.342762788428,3838.256762183153,6059.967686019641,1527.7029562045263,0.02,0,Baixo
12871.668277482722,46,2,0.0,281.0616754337252,564.1075295288622,556.8798035439977,2574.3336554965445,1841.3952677170407,3153.8832602780985,1139.8877672019737,0.01,0,Baixo
57929.879866986135,63,1,0.0,1164.427792033599,2301.159082148878,1886.0065288323417,11585.975973397228,6416.198651568763,18820.935370000887,7631.453385398249,0.0,0,Baixo
11296.833460181926,27,2,0.0,553.7724504405136,456.43272583489966,503.30624451931305,2259.3666920363853,1382.734509427188,3287.890795189892,979.960454481362,0.0,0,Baixo
35455.84989880044,37,4,2757.064142035276,951.3330878458872,1212.4545816657053,1666.0326159271358,5318.3774848200665,4322.425757403546,10177.715597080043,2043.5605064274523,0.0,0,Baixo
6255.5012872758,33,3,867.810401757498,234.34521835879116,301.519761606328,244.87929574015052,1251.10025745516,841.2850981699722,793.2631154190813,401.78568225273006,0.98,1,Alto
10367.216239239837,23,0,736.9309020043303,292.2436126893919,237.3097381749678,468.3183371216485,1555.0824358859752,1072.1115381365448,3837.644943226529,653.473450608729,0.0,0,Baixo
35117.036052937685,34,0,0.0,1225.2576067022835,905.5224203357044,1563.448786102448,10535.110815881306,3839.294623777226,10184.627412440805,1886.0963619567212,0.0,0,Baixo
54161.51742492653,23,4,5389.560329443965,1305.2363575479071,2483.219612119524,1742.9752138554622,16248.45522747796,6609.118733548378,5174.202075888032,5174.202075888032,0.27,0,Baixo
34408.100166399614,39,2,0.0,1174.11562148173,821.5414573652456,1117.5158546372409,6881.620033279924,4377.812936058079,10603.133094384855,3155.758293009141,0.0,0,Baixo
27348.96692477707,35,0,0.0,1316.5574043394486,836.46147877706,1129.6301022319951,4102.34503871656,2794.2074913645965,12147.79577599226,1532.1675305850144,0.02,0,Baixo
23578.008283443018,49,1,0.0,1147.9119705708758,492.8129124239856,893.5620239588889,4715.601656688604,2880.5027882518025,7199.678551457208,2348.482727034023,0.0,0,Baixo
9192.425129000392,45,1,1648.0114794466826,299.62735181504286,299.4625475674854,390.4797661439161,1838.4850258000783,1204.5701967558011,542.3239892553247,542.3239892553247,0.98,1,Alto
16866.37533666489,59,2,2840.3412252356,666.2477533433465,731.2256256656574,584.3486352058123,3373.275067332978,1801.122488781681,2977.620841224849,1627.6396630197935,0.84,1,Alto
20752.90765671867,27,1,0.0,813.8300703693125,1008.4574519165132,778.7897020962148,3112.9361485078007,2533.6200851683025,6590.1474026640335,1708.766020379031,0.08,0,Baixo
69888.08400227477,58,3,0.0,2735.514604175051,2271.8669209495497,2620.609334995744,20966.42520068243,9572.31545480313,13785.936734977093,9335.817698133733,0.06,0,Baixo
39491.75884551276,39,4,0.0,1423.6767503181886,922.6150985152268,1322.0009127054925,7898.351769102553,4126.187597629812,14851.97153376846,3015.7438688842167,0.0,0,Baixo
